month,total_rainfall
1982-01,107.1
1982-02,27.8
1982-03,160.8
1982-04,157
1982-05,102.2
1982-06,59.5
1982-07,76.3
1982-08,169.5
1982-09,54.1
1982-10,39.3
1982-11,134
1982-12,494.1
1983-01,246
1983-02,5.6
1983-03,18.6
1983-04,33.6
1983-05,160.8
1983-06,94
1983-07,190
1983-08,262.2
1983-09,170.8
1983-10,212.7
1983-11,228.8
1983-12,370.6
1984-01,251.2
1984-02,470.4
1984-03,361.3
1984-04,153.1
1984-05,186.5
1984-06,255
1984-07,127.2
1984-08,102.7
1984-09,186.7
1984-10,187.5
1984-11,127.7
1984-12,277.4
1985-01,111.1
1985-02,79.3
1985-03,88
1985-04,110.5
1985-05,70.1
1985-06,37
1985-07,131.8
1985-08,56.9
1985-09,110.7
1985-10,169
1985-11,179.4
1985-12,340.1
1986-01,308.2
1986-02,26.7
1986-03,353.4
1986-04,150
1986-05,145.1
1986-06,122.9
1986-07,109.7
1986-08,72.9
1986-09,396
1986-10,227.3
1986-11,256.7
1986-12,367.2
1987-01,568.6
1987-02,86.9
1987-03,132.5
1987-04,72.5
1987-05,270
1987-06,126.6
1987-07,80.9
1987-08,191.9
1987-09,129.9
1987-10,22.6
1987-11,347.6
1987-12,72.8
1988-01,237.5
1988-02,158.1
1988-03,186.8
1988-04,109.6
1988-05,229.6
1988-06,252.2
1988-07,305.4
1988-08,80.1
1988-09,440.4
1988-10,134.6
1988-11,401.4
1988-12,62.9
1989-01,189.7
1989-02,52.4
1989-03,305.9
1989-04,198.6
1989-05,194
1989-06,117.6
1989-07,157.6
1989-08,201
1989-09,247.3
1989-10,111
1989-11,508.4
1989-12,179.7
1990-01,147.4
1990-02,24.1
1990-03,94.2
1990-04,52.4
1990-05,180.1
1990-06,112.6
1990-07,124
1990-08,146.6
1990-09,204.5
1990-10,56.4
1990-11,180.4
1990-12,201.1
1991-01,123.9
1991-02,45.5
1991-03,92.4
1991-04,134.2
1991-05,256.4
1991-06,88.7
1991-07,37.3
1991-08,226.2
1991-09,123.1
1991-10,52
1991-11,205
1991-12,492.3
1992-01,83.9
1992-02,62.4
1992-03,67.6
1992-04,160.3
1992-05,63.1
1992-06,162.8
1992-07,290.8
1992-08,76.1
1992-09,83.6
1992-10,233.2
1992-11,474.3
1992-12,502.7
1993-01,176.4
1993-02,69.2
1993-03,250.5
1993-04,283.9
1993-05,129.9
1993-06,115.5
1993-07,240
1993-08,106.8
1993-09,61.7
1993-10,175.5
1993-11,250.8
1993-12,308.5
1994-01,56.9
1994-02,133.5
1994-03,288.2
1994-04,154
1994-05,169.6
1994-06,184.7
1994-07,53.8
1994-08,45.1
1994-09,23.7
1994-10,84.7
