year,value
188001,-0.06
188002,-0.14
188003,-0.09
188004,-0.04
188005,-0.09
188006,-0.13
188007,-0.12
188008,-0.06
188009,-0.1
188010,-0.23
188011,-0.23
188012,-0.09
188101,-0.07
188102,-0.06
188103,0.05
188104,0.07
188105,0.03
188106,-0.12
188107,-0.06
188108,-0.06
188109,-0.17
188110,-0.29
188111,-0.26
188112,-0.03
188201,0.12
188202,0.02
188203,-0.02
188204,-0.14
188205,-0.12
188206,-0.13
188207,-0.12
188208,-0.07
188209,-0.11
188210,-0.21
188211,-0.16
188212,-0.17
188301,-0.24
188302,-0.32
188303,-0.17
188304,-0.21
188305,-0.16
188306,0
188307,-0.1
188308,-0.11
188309,-0.17
188310,-0.22
188311,-0.22
188312,-0.12
188401,-0.22
188402,-0.18
188403,-0.28
188404,-0.28
188405,-0.22
188406,-0.26
188407,-0.32
188408,-0.28
188409,-0.28
188410,-0.25
188411,-0.31
188412,-0.21
188501,-0.44
188502,-0.29
188503,-0.24
188504,-0.28
188505,-0.3
188506,-0.31
188507,-0.25
188508,-0.29
188509,-0.26
188510,-0.19
188511,-0.14
188512,0.02
188601,-0.17
188602,-0.32
188603,-0.25
188604,-0.18
188605,-0.18
188606,-0.25
188607,-0.2
188608,-0.26
188609,-0.27
188610,-0.31
188611,-0.27
188612,-0.16
188701,-0.52
188702,-0.46
188703,-0.22
188704,-0.26
188705,-0.25
188706,-0.25
188707,-0.24
188708,-0.32
188709,-0.22
188710,-0.33
188711,-0.18
188712,-0.17
188801,-0.32
188802,-0.26
188803,-0.29
188804,-0.12
188805,-0.15
188806,-0.11
188807,-0.11
188808,-0.16
188809,-0.09
188810,0.04
188811,-0.03
188812,0.08
188901,-0.02
188902,0.03
188903,0.14
188904,0.09
188905,-0.02
188906,-0.07
188907,-0.11
188908,-0.14
188909,-0.23
188910,-0.24
188911,-0.28
188912,-0.14
189001,-0.32
189002,-0.33
189003,-0.31
189004,-0.27
189005,-0.38
189006,-0.29
189007,-0.27
189008,-0.38
189009,-0.42
189010,-0.35
189011,-0.44
189012,-0.28
189101,-0.39
189102,-0.53
189103,-0.23
189104,-0.24
189105,-0.17
189106,-0.19
189107,-0.18
189108,-0.21
189109,-0.15
189110,-0.28
189111,-0.39
189112,-0.06
189201,-0.22
189202,-0.12
189203,-0.24
189204,-0.33
189205,-0.26
189206,-0.29
189207,-0.38
189208,-0.33
189209,-0.21
189210,-0.27
189211,-0.47
189212,-0.44
189301,-0.71
189302,-0.61
189303,-0.23
189304,-0.35
189305,-0.32
189306,-0.26
189307,-0.2
189308,-0.3
189309,-0.22
189310,-0.24
189311,-0.18
189312,-0.25
189401,-0.41
189402,-0.24
189403,-0.27
189404,-0.39
189405,-0.34
189406,-0.37
189407,-0.29
189408,-0.29
189409,-0.26
189410,-0.29
189411,-0.34
189412,-0.24
189501,-0.42
189502,-0.39
189503,-0.32
189504,-0.18
189505,-0.27
189506,-0.28
189507,-0.2
189508,-0.23
189509,-0.16
189510,-0.11
189511,-0.17
189512,-0.12
189601,-0.15
189602,-0.11
189603,-0.22
189604,-0.24
189605,-0.13
189606,-0.09
189607,-0.03
189608,-0.04
189609,-0.04
189610,0.02
189611,-0.15
189612,0.07
189701,-0.12
189702,-0.09
189703,-0.11
189704,0.06
189705,0.01
189706,-0.07
189707,-0.01
189708,-0.08
189709,-0.05
189710,-0.17
189711,-0.24
189712,-0.23
189801,0
189802,-0.28
189803,-0.65
189804,-0.38
189805,-0.27
189806,-0.19
189807,-0.23
189808,-0.23
189809,-0.22
189810,-0.38
189811,-0.31
189812,-0.1
189901,-0.13
189902,-0.32
189903,-0.32
189904,-0.18
189905,-0.17
189906,-0.26
189907,-0.17
189908,-0.1
189909,-0.04
189910,-0.09
189911,0.11
189912,-0.18
190001,-0.32
190002,-0.06
190003,-0.03
190004,-0.09
190005,-0.06
190006,-0.04
190007,-0.09
190008,-0.07
190009,-0.06
190010,0.08
190011,-0.13
190012,0.02
190101,-0.13
190102,-0.08
190103,-0.03
190104,-0.06
190105,-0.11
190106,-0.08
190107,-0.13
190108,-0.18
190109,-0.25
190110,-0.32
190111,-0.2
190112,-0.27
190201,-0.11
190202,-0.05
190203,-0.22
190204,-0.27
190205,-0.29
190206,-0.3
190207,-0.27
190208,-0.29
190209,-0.28
190210,-0.31
190211,-0.34
190212,-0.37
190301,-0.23
190302,-0.09
190303,-0.25
190304,-0.36
190305,-0.41
190306,-0.38
190307,-0.39
190308,-0.44
190309,-0.46
190310,-0.51
190311,-0.48
190312,-0.47
190401,-0.6
190402,-0.57
190403,-0.57
190404,-0.5
190405,-0.45
190406,-0.44
190407,-0.49
190408,-0.44
190409,-0.48
190410,-0.42
190411,-0.15
190412,-0.3
190501,-0.35
190502,-0.63
190503,-0.39
190504,-0.4
190505,-0.26
190506,-0.24
190507,-0.23
190508,-0.19
190509,-0.21
190510,-0.25
190511,-0.07
190512,-0.08
190601,-0.14
190602,-0.23
190603,-0.17
190604,-0.06
190605,-0.22
190606,-0.15
190607,-0.21
190608,-0.23
190609,-0.28
190610,-0.28
190611,-0.34
190612,-0.15
190701,-0.37
190702,-0.48
190703,-0.31
190704,-0.36
190705,-0.46
190706,-0.37
190707,-0.33
190708,-0.32
190709,-0.35
190710,-0.29
190711,-0.48
190712,-0.42
190801,-0.37
190802,-0.36
190803,-0.58
190804,-0.44
190805,-0.38
190806,-0.37
190807,-0.37
190808,-0.45
190809,-0.37
190810,-0.5
190811,-0.5
190812,-0.41
190901,-0.58
190902,-0.46
190903,-0.5
190904,-0.6
190905,-0.49
190906,-0.46
190907,-0.47
190908,-0.32
190909,-0.34
190910,-0.36
190911,-0.28
190912,-0.42
191001,-0.35
191002,-0.4
191003,-0.51
191004,-0.37
191005,-0.31
191006,-0.34
191007,-0.31
191008,-0.35
191009,-0.36
191010,-0.43
191011,-0.48
191012,-0.57
191101,-0.54
191102,-0.57
191103,-0.59
191104,-0.54
191105,-0.52
191106,-0.48
191107,-0.46
191108,-0.44
191109,-0.4
191110,-0.31
191111,-0.24
191112,-0.2
191201,-0.27
191202,-0.13
191203,-0.32
191204,-0.2
191205,-0.2
191206,-0.22
191207,-0.35
191208,-0.46
191209,-0.53
191210,-0.54
191211,-0.42
191212,-0.4
191301,-0.35
191302,-0.42
191303,-0.46
191304,-0.38
191305,-0.4
191306,-0.38
191307,-0.31
191308,-0.29
191309,-0.34
191310,-0.31
191311,-0.16
191312,-0.04
191401,0.11
191402,-0.11
191403,-0.18
191404,-0.25
191405,-0.15
191406,-0.19
191407,-0.22
191408,-0.2
191409,-0.21
191410,-0.1
191411,-0.09
191412,-0.09
191501,-0.15
191502,0
191503,-0.09
191504,0.04
191505,-0.06
191506,-0.14
191507,-0.07
191508,-0.12
191509,-0.17
191510,-0.23
191511,-0.03
191512,-0.11
191601,-0.13
191602,-0.17
191603,-0.28
191604,-0.26
191605,-0.32
191606,-0.4
191607,-0.33
191608,-0.32
191609,-0.33
191610,-0.28
191611,-0.44
191612,-0.63
191701,-0.53
191702,-0.58
191703,-0.64
191704,-0.47
191705,-0.57
191706,-0.4
191707,-0.2
191708,-0.17
191709,-0.11
191710,-0.33
191711,-0.22
191712,-0.55
191801,-0.33
191802,-0.38
191803,-0.31
191804,-0.44
191805,-0.46
191806,-0.35
191807,-0.3
191808,-0.31
191809,-0.2
191810,-0.11
191811,-0.13
191812,-0.35
191901,-0.24
191902,-0.12
191903,-0.23
191904,-0.06
191905,-0.25
191906,-0.28
191907,-0.25
191908,-0.3
191909,-0.24
191910,-0.24
191911,-0.4
191912,-0.41
192001,-0.21
192002,-0.33
192003,-0.09
192004,-0.19
192005,-0.17
192006,-0.26
192007,-0.24
192008,-0.24
192009,-0.18
192010,-0.23
192011,-0.24
192012,-0.43
192101,-0.08
192102,-0.18
192103,-0.26
192104,-0.21
192105,-0.24
192106,-0.17
192107,-0.13
192108,-0.23
192109,-0.14
192110,-0.06
192111,-0.17
192112,-0.1
192201,-0.31
192202,-0.32
192203,-0.11
192204,-0.16
192205,-0.31
192206,-0.27
192207,-0.25
192208,-0.3
192209,-0.32
192210,-0.28
192211,-0.16
192212,-0.2
192301,-0.24
192302,-0.43
192303,-0.33
192304,-0.39
192305,-0.28
192306,-0.24
192307,-0.3
192308,-0.33
192309,-0.29
192310,-0.19
192311,-0.03
192312,-0.01
192401,-0.22
192402,-0.19
192403,-0.09
192404,-0.23
192405,-0.15
192406,-0.2
192407,-0.23
192408,-0.31
192409,-0.29
192410,-0.31
192411,-0.29
192412,-0.41
192501,-0.41
192502,-0.39
192503,-0.24
192504,-0.18
192505,-0.22
192506,-0.24
192507,-0.21
192508,-0.16
192509,-0.14
192510,-0.17
192511,0.05
192512,0.11
192601,0.13
192602,0.03
192603,0.05
192604,-0.14
192605,-0.12
192606,-0.11
192607,-0.19
192608,-0.1
192609,-0.11
192610,-0.07
192611,-0.07
192612,-0.21
192701,-0.23
192702,-0.2
192703,-0.3
192704,-0.25
192705,-0.22
192706,-0.19
192707,-0.13
192708,-0.15
192709,-0.07
192710,0.01
192711,-0.05
192712,-0.28
192801,-0.08
192802,-0.16
192803,-0.26
192804,-0.24
192805,-0.21
192806,-0.27
192807,-0.16
192808,-0.2
192809,-0.17
