Intake Type,Intake Condition,Animal Type,Breed,Color,Outcome Type
Public Assist,Normal,Dog,Great Dane Mix,Black,Adoption
Stray,Normal,Dog,Pit Bull,Brown/White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair,Tricolor,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Blue,Adoption
Stray,Normal,Dog,Pit Bull/Australian Cattle Dog,White,Adoption
Owner Surrender,Sick,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Torbie,Transfer
Stray,Normal,Dog,Great Pyrenees Mix,White/Cream,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever Mix,White/Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Cream/White,Transfer
Owner Surrender,Normal,Dog,Rottweiler Mix,Black/Tan,Transfer
Owner Surrender,Normal,Cat,Domestic Medium Hair,Brown Tabby/White,Adoption
Owner Surrender,Normal,Dog,Italian Greyhound Mix,Gray,Transfer
Owner Surrender,Sick,Dog,Boxer,Brown/Black,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Tortie,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Adoption
Owner Surrender,Sick,Cat,Domestic Shorthair,Blue,Adoption
Stray,Injured,Dog,Pointer/Beagle,White/Brown,Transfer
Owner Surrender,Normal,Dog,American Staffordshire Terrier Mix,Blue/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Adoption
Stray,Normal,Dog,Jack Russell Terrier Mix,Tricolor,Adoption
Owner Surrender,Normal,Cat,Domestic Medium Hair Mix,Blue/White,Transfer
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,Tan/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Brown/White,Adoption
Stray,Normal,Dog,Labrador Retriever Mix,Black,Adoption
Stray,Normal,Dog,Chihuahua Shorthair Mix,Red/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,White/Brown Brindle,Adoption
Stray,Normal,Dog,Basenji/Australian Cattle Dog,Red/White,Adoption
Owner Surrender,Normal,Dog,Pomeranian,Red,Adoption
Stray,Normal,Dog,Plott Hound Mix,Black Brindle,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Tortie,Adoption
Public Assist,Normal,Dog,Miniature Schnauzer,Gray,Transfer
Stray,Nursing,Cat,Domestic Shorthair,Black/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby/White,Adoption
Stray,Normal,Dog,Rat Terrier Mix,Black/White,Transfer
Owner Surrender,Normal,Dog,German Shepherd Mix,Black/Tan,Adoption
Public Assist,Aged,Dog,Beagle Mix,Tricolor,Transfer
Stray,Normal,Cat,Siamese Mix,Chocolate Point,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Blue/White,Transfer
Stray,Normal,Dog,Border Collie Mix,Black/White,Adoption
Stray,Normal,Dog,Rhod Ridgeback/Labrador Retriever,Red/Black,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Brown/White,Adoption
Stray,Normal,Dog,Golden Retriever Mix,Red,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan,Adoption
Stray,Normal,Dog,Bruss Griffon Mix,Tan,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black Tabby,Euthanasia
Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,Adoption
Stray,Normal,Dog,Siberian Husky Mix,Gray/White,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black/White,Transfer
Stray,Normal,Dog,Dachshund/Cardigan Welsh Corgi,White/Tan,Adoption
Stray,Nursing,Cat,Domestic Shorthair Mix,Brown Tabby,Died
Stray,Normal,Dog,Pit Bull Mix,Brown/White,Transfer
Stray,Normal,Dog,Chihuahua Longhair Mix,Tan/White,Euthanasia
Stray,Normal,Dog,Smooth Fox Terrier Mix,Blue Merle/White,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Blue,Died
Stray,Normal,Dog,Dachshund/Chihuahua Shorthair,Black/Brown,Adoption
Stray,Normal,Dog,Labrador Retriever/Pit Bull,Black/White,Transfer
Stray,Normal,Dog,Shetland Sheepdog Mix,Sable,Adoption
Owner Surrender,Normal,Dog,Pit Bull Mix,Black/White,Adoption
Owner Surrender,Normal,Dog,Maltese Mix,White,Adoption
Stray,Normal,Dog,Chihuahua Shorthair Mix,White/Brown,Adoption
Stray,Normal,Dog,Siberian Husky Mix,Black/Tan,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Black,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue Tabby,Transfer
Stray,Normal,Dog,Australian Kelpie Mix,Black/Brown,Transfer
Stray,Normal,Dog,Catahoula/Australian Cattle Dog,Tan/Blue Merle,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
