Intake Type,Intake Condition,Animal Type,Breed,Color,Outcome Type
Owner Surrender,Normal,Dog,Pit Bull Mix,Brown/White,Transfer
Stray,Normal,Dog,German Shorthair Pointer Mix,White/Tan,Adoption
Stray,Normal,Dog,Chihuahua Longhair Mix,Brown Brindle/White,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Red/White,Adoption
Stray,Normal,Dog,Labrador Retriever Mix,Red,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black/White,Adoption
Stray,Normal,Dog,Australian Cattle Dog/Beagle,Brown,Transfer
Stray,Normal,Dog,Chihuahua Longhair Mix,Brown/White,Euthanasia
Stray,Normal,Dog,Toy Poodle Mix,White/Tan,Transfer
Owner Surrender,Normal,Dog,Dachshund,Black/Gray,Transfer
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby/White,Adoption
Owner Surrender,Normal,Dog,Pit Bull Mix,White/Brown,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever/German Shepherd,Chocolate,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Cream Tabby,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Brown,Transfer
Owner Surrender,Normal,Dog,Toy Poodle,Apricot,Euthanasia
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Collie Smooth Mix,Tricolor/White,Adoption
Owner Surrender,Nursing,Dog,Chihuahua Shorthair,Brown/White,Transfer
Public Assist,Normal,Dog,Pit Bull Mix,Black Brindle/White,Transfer
Stray,Normal,Dog,Pug Mix,Brown,Transfer
Stray,Normal,Dog,Black Mouth Cur Mix,Brown/Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,German Shepherd Mix,White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Calico/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Black Brindle/White,Died
Owner Surrender,Normal,Cat,Domestic Shorthair,Orange Tabby,Transfer
Stray,Sick,Dog,Pit Bull,White/Brown,Transfer
Owner Surrender,Sick,Cat,Domestic Longhair Mix,Orange Tabby,Transfer
Stray,Normal,Dog,Chow Chow/Australian Kelpie,Tan,Transfer
Stray,Normal,Dog,Dachshund/Beagle,Black/Tan,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Brown/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Owner Surrender,Normal,Dog,Pit Bull Mix,Blue/Tan,Adoption
Public Assist,Normal,Dog,Carolina Dog,Brown,Transfer
Owner Surrender,Normal,Dog,Beagle Mix,Black/Tan,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Blue,Transfer
Public Assist,Normal,Dog,Anatol Shepherd,Brown/White,Transfer
Stray,Normal,Dog,Norwich Terrier/Yorkshire Terrier,Black/Brown,Transfer
Stray,Normal,Dog,Greater Swiss Mountain Dog,Black/Tricolor,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black,Adoption
Stray,Normal,Dog,Pit Bull Mix,Brown Brindle,Transfer
Stray,Nursing,Dog,Pit Bull Mix,Brown Brindle/White,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever,White/Black,Transfer
Stray,Normal,Dog,Jack Russell Terrier/Chihuahua Shorthair,White/Tan,Adoption
Stray,Normal,Dog,Pit Bull Mix,Fawn,Adoption
Stray,Injured,Dog,Cairn Terrier Mix,Tan,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue,Adoption
Stray,Normal,Cat,Domestic Shorthair,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair,Black/White,Transfer
Owner Surrender,Normal,Dog,German Shepherd Mix,Brown/Black,Transfer
Stray,Normal,Dog,Pit Bull Mix,Red,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,Adoption
Stray,Normal,Dog,Catahoula/Harrier,Tan/White,Transfer
Stray,Normal,Dog,Dachshund/Dachshund,Black,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan,Transfer
Stray,Normal,Dog,Chihuahua Longhair Mix,Red,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Catahoula Mix,Brown Brindle/White,Transfer
Stray,Injured,Dog,Great Pyrenees Mix,White,Adoption
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Black,Transfer
Stray,Normal,Dog,Jack Russell Terrier Mix,Tricolor,Adoption
Owner Surrender,Normal,Dog,Chinese Sharpei,Brown,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black/Tricolor,Transfer
Stray,Injured,Cat,Domestic Shorthair Mix,Calico,Adoption
Stray,Normal,Dog,German Shepherd/Weimaraner,Blue/White,Transfer
Owner Surrender,Normal,Dog,Boxer Mix,Brown Brindle/White,Adoption
Stray,Normal,Dog,Boxer Mix,Brown,Adoption
Stray,Normal,Dog,German Shepherd Mix,Black/Brown,Adoption
Stray,Normal,Dog,Black/Tan Hound Mix,Black/Brown,Transfer
Owner Surrender,Normal,Cat,American Shorthair Mix,Black/Black,Adoption
Public Assist,Normal,Dog,German Shepherd,Black/Tan,Transfer
Owner Surrender,Normal,Cat,Siamese/Domestic Shorthair,Seal Point,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Torbie,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Tan/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Adoption
Stray,Normal,Dog,Vizsla/Boxer,Brown,Adoption
Stray,Normal,Dog,German Shepherd,Brown/Black,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair,Orange Tabby/White,Euthanasia
Owner Surrender,Normal,Dog,Pit Bull Mix,Black/White,Died
Stray,Normal,Cat,Domestic Shorthair Mix,Torbie,Adoption
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Brown Tabby,Transfer
Stray,Sick,Cat,Domestic Shorthair,Orange Tabby/White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Tricolor,Adoption
Stray,Nursing,Cat,Domestic Shorthair Mix,Orange Tabby,Adoption
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Brown/Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Calico,Died
Stray,Injured,Dog,Labrador Retriever/Border Collie,Brown/Tan,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Brown/White,Transfer
Owner Surrender,Normal,Dog,Border Terrier/Scottish Terrier,Black/White,Adoption
Stray,Normal,Other,Rex,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Dachshund Mix,Black/Tan,Adoption
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,White/Tan,Transfer
Stray,Normal,Dog,German Shepherd Mix,Black/Tan,Adoption
Public Assist,Normal,Dog,Labrador Retriever Mix,Black,Adoption
Owner Surrender,Normal,Dog,Pembroke Welsh Corgi Mix,Brown/White,Adoption
Stray,Normal,Dog,West Highland/Cairn Terrier,White/Gray,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Tan/White,Euthanasia
Public Assist,Normal,Dog,Pit Bull Mix,Fawn/White,Transfer
Stray,Normal,Dog,English Bulldog Mix,Brown Brindle/White,Transfer
Stray,Injured,Cat,Domestic Shorthair Mix,Lynx Point/Tan,Adoption
Stray,Nursing,Cat,Domestic Shorthair Mix,Torbie,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Euthanasia
Stray,Normal,Dog,Cocker Spaniel/Miniature Poodle,White/Cream,Transfer
Stray,Normal,Dog,Black Mouth Cur Mix,Tan/Black,Adoption
Stray,Normal,Dog,Basenji Mix,Tan/White,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Sick,Cat,Domestic Shorthair,Blue Tabby,Transfer
Stray,Normal,Dog,Australian Cattle Dog Mix,Brown/White,Euthanasia
Stray,Normal,Dog,Havanese Mix,White/Gray,Euthanasia
Owner Surrender,Normal,Cat,Ragdoll Mix,Seal Point,Transfer
Stray,Normal,Dog,Border Collie Mix,Black,Adoption
Stray,Normal,Dog,Labrador Retriever,Black,Transfer
Stray,Normal,Dog,Beagle/Dachshund,Black/White,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Public Assist,Normal,Dog,Black/Tan Hound,Black/Tan,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Adoption
Stray,Nursing,Cat,Domestic Shorthair Mix,Black/White,Adoption
Stray,Normal,Dog,Pointer Mix,Tricolor,Adoption
Stray,Normal,Dog,Chihuahua Shorthair/Parson Russell Terrier,White,Adoption
Stray,Normal,Dog,Chihuahua Shorthair/Rat Terrier,White/Tan,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Yellow,Adoption
Owner Surrender,Normal,Dog,German Shepherd/Labrador Retriever,Red/Brown,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Euthanasia
Stray,Normal,Dog,Chihuahua Shorthair,Brown Brindle,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Chocolate/White,Adoption
Public Assist,Normal,Dog,Anatol Shepherd,Brown/White,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Adoption
Stray,Normal,Dog,Labrador Retriever Mix,Black/White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black/Tan,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Public Assist,Normal,Dog,Jack Russell Terrier Mix,White/Brown,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Black/White,Adoption
Owner Surrender,Aged,Dog,Pit Bull,Blue,Transfer
Owner Surrender,Normal,Dog,American Pit Bull Terrier Mix,Brown Brindle/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Owner Surrender,Normal,Dog,Cairn Terrier Mix,Tan/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever,Black/White,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Transfer
Public Assist,Normal,Dog,American Pit Bull Terrier,Brown,Transfer
Stray,Normal,Dog,Chihuahua Shorthair/Dachshund,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Seal Point,Transfer
Stray,Normal,Cat,Domestic Shorthair,Torbie,Adoption
Stray,Normal,Dog,Dachshund Mix,Brown,Adoption
Stray,Normal,Other,Silver Mix,Brown,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Torbie,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Black/White,Transfer
Stray,Normal,Dog,Dachshund,Red Merle/White,Adoption
Owner Surrender,Injured,Dog,Chihuahua Shorthair Mix,Cream,Euthanasia
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Stray,Normal,Dog,Australian Cattle Dog Mix,Tricolor,Transfer
Owner Surrender,Normal,Dog,German Shepherd,Sable/Brown,Transfer
Public Assist,Normal,Dog,German Shepherd Mix,Tan/Black,Transfer
Owner Surrender,Sick,Dog,Labrador Retriever Mix,Black,Transfer
Stray,Normal,Dog,German Shepherd Mix,Black/Brown,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever/Siberian Husky,Brown,Adoption
Owner Surrender,Normal,Dog,Pit Bull Mix,Brown Brindle/White,Adoption
Stray,Normal,Dog,Australian Shepherd Mix,Brown/White,Transfer
Stray,Normal,Dog,Basset Hound/Labrador Retriever,Brown,Transfer
Stray,Normal,Dog,German Shepherd,Black/Brown,Transfer
Stray,Normal,Dog,Rat Terrier Mix,Tricolor,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Brown,Euthanasia
Owner Surrender,Normal,Dog,Australian Kelpie,Chocolate,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue Tabby/White,Euthanasia
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black,Adoption
Public Assist,Normal,Dog,Standard Poodle/Labrador Retriever,Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,Adoption
Stray,Normal,Dog,Chihuahua Shorthair,Tan,Adoption
Stray,Normal,Dog,English Bulldog,Sable/White,Transfer
Stray,Normal,Dog,Belgian Malinois,Black/Brown,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black,Transfer
Owner Surrender,Normal,Dog,Chihuahua Shorthair,Brown/White,Adoption
Stray,Normal,Dog,Coton De Tulear Mix,White/Brown,Adoption
Stray,Normal,Dog,Cairn Terrier Mix,Tan,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,Euthanasia
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Euthanasia
Stray,Normal,Dog,German Shepherd/Australian Cattle Dog,Red/White,Adoption
Stray,Normal,Dog,Miniature Schnauzer Mix,Black/Tan,Adoption
Owner Surrender,Normal,Dog,Pit Bull Mix,Chocolate/White,Adoption
Stray,Normal,Dog,Pit Bull Mix,Black/White,Adoption
Stray,Normal,Dog,Australian Shepherd Mix,Sable,Return to Owner
Owner Surrender,Normal,Dog,Anatol Shepherd Mix,Tan/Black,Adoption
Stray,Normal,Dog,Anatol Shepherd/Redbone Hound,Red/Black,Transfer
Owner Surrender,Normal,Dog,Queensland Heeler Mix,White/Blue Merle,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Public Assist,Normal,Cat,Domestic Shorthair Mix,Blue,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Public Assist,Normal,Dog,Chihuahua Shorthair,Brown,Died
Stray,Nursing,Dog,Pit Bull Mix,Brown Brindle/White,Adoption
Stray,Normal,Dog,Miniature Schnauzer Mix,Gray/Gray,Transfer
Stray,Normal,Dog,Pit Bull Mix,White/Black,Adoption
Owner Surrender,Sick,Dog,Chihuahua Shorthair Mix,Tan,Adoption
Public Assist,Normal,Dog,Golden Retriever/Chow Chow,Tan,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Pit Bull Mix,Fawn,Transfer
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Brown,Transfer
Owner Surrender,Normal,Dog,Australian Shepherd Mix,Tan,Transfer
Stray,Normal,Dog,Miniature Schnauzer Mix,Brown/Gray,Euthanasia
Owner Surrender,Normal,Other,Rabbit Sh Mix,Black,Adoption
Stray,Normal,Dog,Pit Bull Mix,Black/White,Transfer
Stray,Normal,Dog,German Shepherd,Black/Brown,Transfer
Stray,Normal,Cat,Domestic Medium Hair Mix,Black,Transfer
Stray,Normal,Dog,Collie Rough,Brown/White,Adoption
Stray,Normal,Dog,Australian Shepherd Mix,Tan/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Blue/White,Transfer
Stray,Normal,Dog,Queensland Heeler,Brown/White,Transfer
Owner Surrender,Normal,Dog,Great Dane/Pit Bull,White/Black,Adoption
Stray,Normal,Dog,Labrador Retriever,Black,Transfer
Stray,Normal,Dog,Miniature Poodle Mix,White,Transfer
Owner Surrender,Injured,Dog,German Shepherd,Black/Tan,Adoption
Stray,Normal,Dog,Pit Bull Mix,Blue/White,Adoption
Stray,Normal,Dog,German Shepherd Mix,Brown,Transfer
Public Assist,Normal,Dog,Labrador Retriever Mix,Black/Brown Brindle,Adoption
Stray,Normal,Dog,Labrador Retriever Mix,Black,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue,Transfer
Stray,Normal,Dog,Labrador Retriever/Jack Russell Terrier,Black/White,Transfer
Stray,Normal,Dog,Dachshund Mix,Black/Brown,Transfer
Stray,Normal,Dog,Newfoundland/Australian Cattle Dog,Black/White,Adoption
Stray,Nursing,Dog,Australian Cattle Dog/Boxer,Black/White,Transfer
Stray,Normal,Dog,Australian Cattle Dog/Plott Hound,Brown Brindle/White,Transfer
Stray,Normal,Dog,Australian Terrier Mix,Black/Brown,Transfer
Owner Surrender,Sick,Dog,Labrador Retriever Mix,Black/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Tan,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Transfer
Stray,Normal,Dog,Alaskan Malamute/German Shepherd,Black/White,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black,Transfer
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Brown/White,Transfer
Owner Surrender,Normal,Dog,Pit Bull Mix,Tan/White,Transfer
Owner Surrender,Normal,Dog,Pit Bull Mix,Brown Brindle,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Owner Surrender,Normal,Cat,Domestic Longhair Mix,Calico,Transfer
Stray,Normal,Cat,Domestic Shorthair,Brown Tabby,Transfer
Stray,Normal,Dog,Dachshund Mix,Tan/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Cream Tabby/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Brown Brindle/White,Transfer
Stray,Normal,Dog,Chihuahua Shorthair Mix,Brown/Tan,Adoption
Stray,Normal,Dog,Welsh Terrier,Black/Brown,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Public Assist,Normal,Dog,Bichon Frise Mix,White,Transfer
Stray,Normal,Dog,Dachshund Mix,Brown,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Tan,Transfer
Stray,Other,Dog,Boxer Mix,Brown,Adoption
Owner Surrender,Normal,Dog,Australian Shepherd/Cardigan Welsh Corgi,Black/Brown,Transfer
Stray,Normal,Cat,Domestic Medium Hair Mix,Orange Tabby/White,Transfer
Owner Surrender,Normal,Cat,Domestic Medium Hair Mix,Orange Tabby/White,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,Transfer
Stray,Normal,Dog,Boxer Mix,Black/White,Adoption
Stray,Sick,Dog,Australian Shepherd Mix,Red/Black,Adoption
Owner Surrender,Normal,Dog,Pit Bull Mix,Black/White,Transfer
Owner Surrender,Other,Cat,Siamese Mix,Lynx Point,Transfer
Stray,Normal,Dog,Shih Tzu,White/Brown,Transfer
Owner Surrender,Normal,Dog,Dachshund Wirehair Mix,Gray,Adoption
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Brown/White,Transfer
Stray,Normal,Dog,Pit Bull Mix,Red/White,Adoption
Stray,Normal,Dog,American Bulldog,White/Black,Transfer
Stray,Normal,Cat,American Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Parson Russell Terrier Mix,White/Brown,Transfer
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Tan/White,Adoption
Stray,Normal,Dog,Chihuahua Shorthair,Brown Brindle,Transfer
Stray,Normal,Dog,Chinese Sharpei Mix,Black,Adoption
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Transfer
Stray,Normal,Dog,Carolina Dog Mix,Tan/White,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby/White,Transfer
Stray,Normal,Dog,Miniature Schnauzer Mix,Silver/Tan,Transfer
Public Assist,Normal,Dog,Labrador Retriever,White,Transfer
Stray,Sick,Cat,Domestic Medium Hair Mix,Brown Tabby/White,Adoption
Owner Surrender,Normal,Cat,Siamese,Lynx Point,Transfer
Stray,Normal,Dog,Beagle Mix,Tan/White,Missing
Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,Adoption
Public Assist,Normal,Dog,Pug,Brown Brindle/White,Adoption
Owner Surrender,Normal,Dog,Chihuahua Shorthair Mix,Tan/White,Adoption
Stray,Normal,Dog,American Pit Bull Terrier Mix,Black/Brown,Transfer
Public Assist,Normal,Cat,Domestic Shorthair Mix,Silver Tabby/White,Euthanasia
Stray,Normal,Dog,Labrador Retriever Mix,White/Tan,Transfer
Owner Surrender,Normal,Dog,Boxer Mix,Brown Brindle/White,Transfer
Owner Surrender,Normal,Dog,Pit Bull,White,Euthanasia
Owner Surrender,Normal,Dog,Australian Cattle Dog,Blue Tick,Transfer
Stray,Normal,Cat,Domestic Shorthair,Blue,Transfer
Public Assist,Normal,Dog,Chihuahua Shorthair Mix,White,Transfer
Stray,Normal,Dog,Dachshund/Chihuahua Shorthair,Red/White,Transfer
Stray,Normal,Dog,Landseer/Border Collie,Black/White,Transfer
Stray,Normal,Dog,Doberman Pinsch Mix,Black/Brown,Adoption
Owner Surrender,Normal,Cat,Domestic Shorthair,Black/White,Transfer
Stray,Normal,Cat,Domestic Shorthair Mix,Black,Transfer
Owner Surrender,Normal,Cat,Domestic Medium Hair,Lynx Point,Transfer
Stray,Normal,Dog,Labrador Retriever Mix,Chocolate,Euthanasia
Stray,Normal,Dog,Siberian Husky,Black/Tricolor,Transfer
Owner Surrender,Normal,Dog,Labrador Retriever Mix,Tan,Euthanasia
Stray,Normal,Dog,Whippet Mix,White/Tan,Died
Stray,Normal,Cat,Domestic Shorthair Mix,Torbie,Adoption
Owner Surrender,Normal,Dog,Miniature Poodle Mix,Brown,Transfer
Owner Surrender,Normal,Cat,Domestic Shorthair Mix,White/Blue,Adoption
Stray,Normal,Dog,Labrador Retriever Mix,Chocolate/Tan,Transfer
